Topic,Count,Name,Representation,Representative_Docs
9,182,9_свободные_свободных_есть_нет,"['свободные', 'свободных', 'есть', 'нет', 'окошко', 'подскажите', 'окошки', 'негде', 'во', 'дня']","['Здравствуйте. У вас есть окошки свободные сегодня или завтра на липосакцию?', 'Здравствуйте, подскажите, есть ли у вас свободные окошки на сегодня, завтра.', 'Здравствуйте!\nКогда есть свободные окошки, подскажите, пожалуйста ☺️']"
10,179,10_поставил_нравится__,"['поставил', 'нравится', '', '', '', '', '', '', '', '']","['Поставил(-а) ""Нравится"" вашему сообщению', 'Поставил(-а) ""Нравится"" вашему сообщению', 'Поставил(-а) ""Нравится"" вашему сообщению']"
11,164,11_питере_центр_юг_июле,"['питере', 'центр', 'юг', 'июле', 'территориально', 'пятигорске', 'район', 'феврале', 'папу', 'место']","['Здравствуйте, вы в Ставрополе принимаете?', 'Здравствуйте \nА Вы в Ставрополе принимаете?', 'И где вы в Ставрополе принимаете?']"
12,152,12_оксане_сити_напротив_саксаульная,"['оксане', 'сити', 'напротив', 'саксаульная', 'ул', 'парке', 'вокзальная', 'ташлы', 'центре', 'пушкина']","['На Пушкина?', 'А на Пушкина?', 'На Пушкина?']"
13,132,13_выходные_выходных_отдых_будние,"['выходные', 'выходных', 'отдых', 'будние', 'свободное', 'дня', 'будни', 'посиди', 'нерабочий', 'воскресенье']","['Нет, к сожалению, в выходные дни я не могу. Только будни', 'Здравствуйте, подскажите пожалуйста, а на выходные в какое время есть окошки?', 'Добрый день, на этих выходных есть местечко свободное? Или на юге или в центре']"
14,131,14_запишу_запишусь_запишите_запиши,"['запишу', 'запишусь', 'запишите', 'запиши', 'забудь', 'давайте', 'запишешь', 'запишется', 'запивать', 'запишете']","['Запишите меня, пожалуйста)', 'Запишите меня пожалуйста', 'Запишите меня пожалуйста!🤗']"
15,103,15_принимаете_принимает_принимаешь_принимаемаете,"['принимаете', 'принимает', 'принимаешь', 'принимаемаете', 'берёшь', 'принимают', 'берет', 'составишь', 'кинешь', 'выкладывает']","['Здравствуйте где вы принимаете', 'Здравствуйте. Где вы принимаете', 'Здравствуйте. А где вы принимаете?']"
16,103,16_нормально_чуть_все_хорошо,"['нормально', 'чуть', 'все', 'хорошо', 'разово', 'здрасьте', 'она', 'пока', 'сейчас', 'по']","['Хорошо', 'Хорошо', 'Хорошо']"
17,94,17_скину_подстроюсь_перешлю_скинь,"['скину', 'подстроюсь', 'перешлю', 'скинь', 'поднимаюсь', 'вышлю', 'скинуть', 'скиньте', 'киньте', 'скинули']","['Привет. Да давай. Скинь мне готовый материал я скину сразу в сторис и тебя отмечу', 'Ок, позже скину! Добрый вечер. Перевела 500 р с карты Пётр Николаевич Г', 'Ахах, ну вот и я про это 😂\nНу если вдруг какого то хорошего в шпаковке найдёшь-скинь мне, я тоже прорекламируюсь\nИ я скину если что \n\nМашка Григорьева не зашла?']"
18,94,18_давайте_попробуем_принять_тогда,"['давайте', 'попробуем', 'принять', 'тогда', 'напомните', 'бы', 'сегодня', 'запишите', 'только', 'не']","['Давайте', 'Давайте. 😊', 'Жаль, да давайте']"
19,94,19_предоплата_предоплату_предоплаты_предоплате,"['предоплата', 'предоплату', 'предоплаты', 'предоплате', 'нужна', 'оплачу', 'дань', 'платим', 'оплата', 'оплачивать']","['Предоплата нужна?)', 'Предоплата нужна?', 'Хорошо)а предоплата не нужна?']"
20,92,20_животик_живот_живота_ноги,"['животик', 'живот', 'живота', 'ноги', 'бока', 'бедра', 'парке', 'зона', 'кустах', 'участки']","['Живот, бока', 'Живот +бока?', 'Живот, бока, ягодицы, бедра']"
21,86,21_сеансе_сеансов_сеанс_сеансы,"['сеансе', 'сеансов', 'сеанс', 'сеансы', 'длительность', 'сеанса', 'сеансами', 'длится', 'длиться', 'периодичностью']","['Здравствуйте, подскажите, сколько по времени длится 1 сеанс,', 'Сколько длится один сеанс?', 'И сколько один сеанс длится?']"
22,81,22_работаете_работает_работаешь_работе,"['работаете', 'работает', 'работаешь', 'работе', 'студии', 'работала', 'заработаешь', 'здраствуйте', 'ты', 'каком']","['Добрый день )) а вы до скольки работаете?', 'Здравствуйте, подскажите а до скольки вы работаете?', 'А до скольки вы работаете?']"
23,74,23_ок_живот_можно_,"['ок', 'живот', 'можно', '', '', '', '', '', '', '']","['Ок', 'Ок', 'Ок']"
24,71,24_даааааа_дааааа_даааа_даааааааааа,"['даааааа', 'дааааа', 'даааа', 'даааааааааа', 'дааа', 'ваааааа', 'аааа', 'ааа', 'да', 'ебааааа']","['Дааа!', 'Дааа)', 'Дааа']"
25,69,25_отличий_разница_факторов_каких,"['отличий', 'разница', 'факторов', 'каких', 'карамельной', 'эффекта', 'от', 'чем', 'зависит', 'антицеллюлитным']","['Разница между антицеллюлитным массажем и карамельной липосакцией.', 'Разница между антицеллюлитным массажем и карамельной липосакцией.', 'Разница между антицеллюлитным массажем и карамельной липосакцией.']"
26,60,26_рождения_рождение_рожденияяяяя_любви,"['рождения', 'рождение', 'рожденияяяяя', 'любви', 'светлого', 'поздравляю', 'птичка', 'мамы', 'витюша', 'виктория']","['С днём рождения красотка 😍 🎁🎉💗🌈❤️🎁', 'С днём рождения, красотка ♥️♥️♥️🥰🥰🥰', 'Красотка, с днем рождения ❤️\u200d🔥Будь всегда такой крутой куколкой, здоровья, процветания, успехов и всего самого доброго светлого и теплого 😘']"
27,58,27_лет_возраст_самочувствие_себя,"['лет', 'возраст', 'самочувствие', 'себя', 'года', 'чувствуешь', 'сколько', 'летишь', '30', '50']","['На 50 лет', 'На 50 лет', 'На 50 лет']"
28,57,28_стоит_стоят_стоимость_около,"['стоит', 'стоят', 'стоимость', 'около', 'примерно', 'вообще', 'медовый', 'медицинской', 'тела', 'всего']","['Сколько стоит', 'Сколько стоит?', 'Сколько стоит?']"
29,56,29_тело_все_лицо_центр,"['тело', 'все', 'лицо', 'центр', 'как', 'отлично', 'поняла', 'контакты', 'губы', '']","['Все тело', 'Все тело', 'Все тело']"
30,51,30_отлично_даже_молодец_конечно,"['отлично', 'даже', 'молодец', 'конечно', 'да', 'шикарно', '', '', '', '']","['Отлично', 'Отлично', 'Отлично']"
