Topic,Count,Name,Representation,Representative_Docs
10,149,10_пятницу_ставрополь_феврале_район,"['пятницу', 'ставрополь', 'феврале', 'район', 'ставрополе', 'завтра', 'юг', '79964186734', 'сегодня', 'дня']","['Да, ставрополь )', 'Да, Ставрополь.', 'Здравствуйте, Ставрополь есть?']"
11,119,11_тело_стоит_состояние_переднюю,"['тело', 'стоит', 'состояние', 'переднюю', 'локти', 'теле', 'на', 'ужасное', 'всё', 'занимает']","['На все тело', 'На все тело', 'на все тело']"
12,107,12_работаю_работу_рабочие_вакансия,"['работаю', 'работу', 'рабочие', 'вакансия', 'работы', 'работает', 'продажам', 'специалистом', 'работа', 'часов']","['Нет( до 18:00 работаю', 'Я работаю до 17.00 и доехать мне надо до вас это ещё час, поэтому мне надо 18.00 в будни', 'Нет я работаю неделю до 19:00 неделю до 17:00 как раз следующую я работаю до 17:00 мне же еще доехать надо это минут 15 примерно']"
13,99,13_ок_живот_можно_,"['ок', 'живот', 'можно', '', '', '', '', '', '', '']","['Ок', 'Ок', 'Ок']"
14,98,14_чуть_хорошо_сейчас_по,"['чуть', 'хорошо', 'сейчас', 'по', 'выложу', '', '', '', '', '']","['Хорошо', 'Хорошо.', 'Хорошо']"
15,86,15_лет_себя_самочувствие_года,"['лет', 'себя', 'самочувствие', 'года', 'чувствуешь', 'летишь', 'сколько', '50', '30', 'пол']","['На 50 лет', 'На 50 лет', 'На 50 лет )']"
16,85,16_запишу_запишусь_запиши_запишите,"['запишу', 'запишусь', 'запиши', 'запишите', 'забудь', 'запишешь', 'давайте', 'давай', 'меня', 'запишемся']","['Запишите меня пожалуйста!🤗', 'Запишите меня пожалуйста на 4 в 16:00', 'Да давайте. Запишите меня пожалуйста']"
17,74,17_работаете_прирабатываются_работает_работаешь,"['работаете', 'прирабатываются', 'работает', 'работаешь', 'работе', 'студии', 'заработаешь', 'работала', 'здраствуйте', 'курсе']","['Скажите,а со скольки и до скольки вы работаете?', 'Добрый день )) а вы до скольки работаете?', 'А до скольки вы работаете?']"
18,74,18_особенностей_отличается_классический_какие,"['особенностей', 'отличается', 'классический', 'какие', 'разница', 'разные', 'карамельная', 'карамельной', 'от', 'карамельный']","['Разница между антицеллюлитным массажем и карамельной липосакцией.', 'Разница между антицеллюлитным массажем и карамельной липосакцией.', 'Разница между антицеллюлитным массажем и карамельной липосакцией.']"
19,56,19_живот_ноги_зона_бедра,"['живот', 'ноги', 'зона', 'бедра', 'жопа', 'ягодицы', 'бока', 'руки', 'смотря', 'тело']","['Живот и бока)', 'Живот бока.', 'Живот, бока, ягодицы, бедра']"
20,52,20_принимаете_принимает_принимаешь_принимаемаете,"['принимаете', 'принимает', 'принимаешь', 'принимаемаете', 'принимают', 'берёшь', 'клиента', 'можете', 'тц', 'вы']","['Здравствуйте. А где вы принимаете?', 'Здравствуйте. Где вы принимаете', 'Здравствуйте где вы принимаете']"
